in;out
пытайся шлёпать к валуну, который находится правее камня правее лежащего человека, повернись к нему;Местоимение: нему. Объект: валуну
пытайся осматривать спиленное дерево, которое располагается справа от рытвины и обскочи его;Местоимение: его. Объект: спиленное дерево
откатись к берёзе, обскакивай её;Местоимение: её. Объект: берёзу
обнаружь кучу и опереди её;Местоимение: её. Объект: кучу
оставь позади в этом направлении, к железному коню, осмотри его;Местоимение: его. Объект: железного коня
анализируй упавшее дерево левее, осматривай его;Местоимение: его. Объект: упавшее дерево
осмотри ольху правее тебя и обходи её;Местоимение: её. Объект: ольху
соверши поворот до близкой лесополосы и рассмотри её;Местоимение: её. Объект: лесополосу
найди камушек, который располагается спереди от машины и обставь его;Местоимение: его. Объект: камушек
пустись до данного барьера и анализируй его;Местоимение: его. Объект: барьер
сделай поворот к ближней машине, выдвигайся до неё;Местоимение: неё. Объект: машины
осмотри женщину, что располагается справа от авто, которое правее останца и обставь её;Местоимение: её. Объект: женщину
убирайся до данного лежащего человека и подвергни анализу его;Местоимение: его. Объект: лежащего человека
пытайся осматривать булыжник перед собой, исследуй его;Местоимение: его. Объект: булыжник
обскочи близкий овраг, шкандыбай до него;Местоимение: него. Объект: оврага
обследуй железного коня и сделай поворот до него;Местоимение: него. Объект: железного коня
разыщи камушек, что находится слева от постройки, анализируй его;Местоимение: его. Объект: камушек
пытайся нестись к фонарю, сделай поворот до него;Местоимение: него. Объект: фонаря
повернись до ближайшего дерева, обозревай его;Местоимение: его. Объект: дерево
пытайся объезжать наблюдаемый дом, осматривай его;Местоимение: его. Объект: дом
пытайся сдвигаться до авто, которое справа от сваленного дерева, рассматривай его;Местоимение: его. Объект: авто
перекинься к автомобилю правее пригорка и исследуй его;Местоимение: его. Объект: автомобиль
начинай анализировать валун левее, поворачивай к нему;Местоимение: нему. Объект: валуну
сделай поворот до чащи спереди тебя и опереди её;Местоимение: её. Объект: чащу
найди близкую ольху, обставь её;Местоимение: её. Объект: ольху
откатись к близкому лежащему человеку, анализируй его;Местоимение: его. Объект: лежащего человека
рассматривай лесополосу, которая располагается левее барьера, находящийся неподалеку от лампы, сделай поворот до неё;Местоимение: неё. Объект: лесополосы
начни опережать лежащего человека левее себя и прохаживай до него;Местоимение: него. Объект: лежащего человека
начни заворчивать до данного валуна, разглядывай его;Местоимение: его. Объект: валун
обнаружь автомобиль сзади, обозревай его;Местоимение: его. Объект: автомобиль
сматывайся до наблюдаемой булыги и разглядывай её;Местоимение: её. Объект: булыгу
доставь себя в эту сторону, к фонарю, осмотри его;Местоимение: его. Объект: фонарь
начинай поворачивать к разлому, шествуй к нему;Местоимение: нему. Объект: разлому
начинай рассматривать разлом слева от провала и исследуй его;Местоимение: его. Объект: разлом
объезжай данный валун и теки к нему;Местоимение: нему. Объект: валуну
начни заворчивать к провалу, что находится левее булыги, скачи до него;Местоимение: него. Объект: провала
осмотри того пьяного человека, теки до него;Местоимение: него. Объект: пьяного человека
рассмотри ближайшую даму, соверши поворот к ней;Местоимение: ней. Объект: даме
разглядывай булыгу, располагающуюся левее леса и анализируй её;Местоимение: её. Объект: булыгу
опереди разлом и смойся к нему;Местоимение: нему. Объект: разлому
начинай осматривать булыгу, располагающуюся перед препятствием, пролетай до неё;Местоимение: неё. Объект: булыги
шмыгай в том направлении, до сосны и заворчивай до неё;Местоимение: неё. Объект: сосны
анализируй рощу, что располагается перед товарищем и теки до неё;Местоимение: неё. Объект: рощи
лети до данного разлома, заворчивай к нему;Местоимение: нему. Объект: разлому
обнаружь разлом, что располагается правее железного коня, который около останца и обскакивай его;Местоимение: его. Объект: разлом
повернись к упавшему дереву, что располагается сзади от лесополосы и рассматривай его;Местоимение: его. Объект: упавшее дерево
начинай передвигаться к камню слева и осмотри его;Местоимение: его. Объект: камень
соверши поворот к останцу слева от себя, осмотри его;Местоимение: его. Объект: останец
оставь позади наблюдаемый барьер, сходи до него;Местоимение: него. Объект: барьера
начинай обследовать дерево, которое находится перед пригорком, что перед тачкой, осмотри его;Местоимение: его. Объект: дерево
сходи до булыги, повернись к ней;Местоимение: ней. Объект: булыге
поворачивай к данному оврагу, становись к нему;Местоимение: нему. Объект: оврагу
осмотри ограждение, что находится спереди от камушка и анализируй его;Местоимение: его. Объект: ограждение
заворчивай до упавшего дерева, которое находится рядом с бугром, смойся к нему;Местоимение: нему. Объект: упавшему дереву
оставь позади близкий разлом, осмотри его;Местоимение: его. Объект: разлом
оставь позади ту загородку и анализируй её;Местоимение: её. Объект: загородку
подвергни анализу свалившегося человека, обозревай его;Местоимение: его. Объект: свалившегося человека
обходи валун и обозревай его;Местоимение: его. Объект: валун
начни разглядывать наблюдаемый свет, обскочи его;Местоимение: его. Объект: свет
подвергни анализу камень, припусти до него;Местоимение: него. Объект: камня
разыщи останец и обскакивай его;Местоимение: его. Объект: останец
заворчивай до того останца, подвергни анализу его;Местоимение: его. Объект: останец
пытайся осматривать разлом рядом с поваленным деревом, которое перед коттеджем и прорывайся до него;Местоимение: него. Объект: разлома
пытайся анализировать близлежащее препятствие, уезжай до него;Местоимение: него. Объект: препятствия
начни направлять шаги до светильника, находящегося перед срубленным деревом, что располагается справа от ограждения и исследуй его;Местоимение: его. Объект: светильник
обозревай холмик, который рядом с светильником, что около булыги и обследуй его;Местоимение: его. Объект: холмик
заворчивай к холму, который левее постройки и рассматривай его;Местоимение: его. Объект: холм
анализируй валун, который располагается правее сваленного дерева, осматривай его;Местоимение: его. Объект: валун
разыщи близкий столб, повернись до него;Местоимение: него. Объект: столба
начинай хромать к избе позади тебя и разглядывай её;Местоимение: её. Объект: избу
разыщи лесополосу, которая располагается рядом с камнем неподалеку от ямы, повернись к ней;Местоимение: ней. Объект: лесополосе
повернись к автомобилю, что находится спереди от останца, подвергни анализу его;Местоимение: его. Объект: автомобиль
устройся к авто, подвергни анализу его;Местоимение: его. Объект: авто
начни объезжать сваленное дерево, что находится перед тачкой, трюшчи до него;Местоимение: него. Объект: сваленного дерева
поворачивай к товарищу слева, обозревай его;Местоимение: его. Объект: товарища
обследуй возвышенность левее тебя, сделай поворот до неё;Местоимение: неё. Объект: возвышенности
рассматривай свет, заворчивай к нему;Местоимение: нему. Объект: свету
выйди до пропасти слева от себя, обскочи её;Местоимение: её. Объект: пропасть
соверши поворот к недалёкой яме и рассмотри её;Местоимение: её. Объект: яму
сделай поворот до здания, которое располагается перед лампой, которая располагается за упавшим человеком и исследуй его;Местоимение: его. Объект: здание
пытайся перемещаться до этого дуба, осматривай его;Местоимение: его. Объект: дуб
повернись до лежащего человека, который располагается левее особняка и опереди его;Местоимение: его. Объект: лежащего человека
начинай брести к близкому растению и заворчивай к нему;Местоимение: нему. Объект: растению
опереди машину правее себя и пролетай к ней;Местоимение: ней. Объект: машине
несись до железного коня, который спереди от канавы, что располагается справа от мужчины и подвергни анализу его;Местоимение: его. Объект: железного коня
сделай поворот до света, который находится рядом с останцем, объезжай его;Местоимение: его. Объект: свет
пробирайся туда, до светильника, подвергни анализу его;Местоимение: его. Объект: светильник
поезжай до наблюдаемого препятствия и сделай поворот к нему;Местоимение: нему. Объект: препятствию
обследуй преграду правее тебя и рассмотри её;Местоимение: её. Объект: преграду
начинай разглядывать тот останец, опережай его;Местоимение: его. Объект: останец
рассмотри расщелину и исследуй её;Местоимение: её. Объект: расщелину
рассмотри валун и исследуй его;Местоимение: его. Объект: валун
осмотри данное здание, опережай его;Местоимение: его. Объект: здание
объезжай рытвину, рассмотри её;Местоимение: её. Объект: рытвину
разыщи барьер, что располагается за растением, семени к нему;Местоимение: нему. Объект: барьеру
подвергни анализу женщину, находящуюся рядом с камушком, осмотри её;Местоимение: её. Объект: женщину
соверши поворот туда, к ольхе, обозревай её;Местоимение: её. Объект: ольху
обозревай товарища, что располагается справа от фонаря, который находится правее автомобиля и оставь позади его;Местоимение: его. Объект: товарища
попробуй обозревать фонарь, что правее здания, что находится справа от поваленного дерева, повернись до него;Местоимение: него. Объект: фонаря
обходи в том направлении, к тачке и потеряйся к ней;Местоимение: ней. Объект: тачке
обнаружь мужчину, который находится перед барьером и иди до него;Местоимение: него. Объект: мужчины
шлёпай к разрыву, что располагается перед срубленным деревом, что находится сзади от машины, объезжай его;Местоимение: его. Объект: разрыв
становись к ближайшему товарищу, подвергни анализу его;Местоимение: его. Объект: товарища
осматривай авто, располагающееся около бугра и обставь его;Местоимение: его. Объект: авто
катись до оврага, который располагается левее булыги, находящейся позади ольхи, анализируй его;Местоимение: его. Объект: овраг
начни рассматривать дерево, что находится около рытвины, что находится позади домика и тянись до него;Местоимение: него. Объект: дерева
выходи к лампе и обследуй её;Местоимение: её. Объект: лампу
начни разглядывать преграду, которая находится спереди от рытвины, находящуюся правее сломанного дерева, опереди её;Местоимение: её. Объект: преграду
подвергни анализу дуб и осмотри его;Местоимение: его. Объект: дуб
лети к близкому лесу, обставь его;Местоимение: его. Объект: лес
попробуй основываться к тачке и поворачивай до неё;Местоимение: неё. Объект: тачки
обнаружь близкий останец и приближайся к нему;Местоимение: нему. Объект: останцу
повернись до ближнего света и делай маневр к нему;Местоимение: нему. Объект: свету
обставь разрыв и рассматривай его;Местоимение: его. Объект: разрыв
рассматривай в ту сторону, до поваленного дерева, повернись до него;Местоимение: него. Объект: поваленного дерева
начни объезжать железного коня и разглядывай его;Местоимение: его. Объект: железного коня
найди срубленное дерево, разглядывай его;Местоимение: его. Объект: срубленное дерево
пытайся обозревать булыгу и съезди к ней;Местоимение: ней. Объект: булыге
обскочи загородку, заворчивай к ней;Местоимение: ней. Объект: загородке
опереди свалившегося человека, который располагается перед сосной, мчи к нему;Местоимение: нему. Объект: свалившемуся человеку
хромай до поваленного дерева и заворчивай до него;Местоимение: него. Объект: поваленного дерева
пытайся делать маневр до ближнего бугра, обходи его;Местоимение: его. Объект: бугор
обозревай срубленное дерево, которое находится левее лампы, исследуй его;Местоимение: его. Объект: срубленное дерево
рассмотри чащу слева, обставь её;Местоимение: её. Объект: чащу
соверши поворот в ту сторону, к упавшему человеку, объезжай его;Местоимение: его. Объект: упавшего человека
пытайся рассматривать ближнего ребёнка, исследуй его;Местоимение: его. Объект: ребёнка
обскочи ближнее авто, соверши поворот до него;Местоимение: него. Объект: авто
начинай анализировать лес и заворчивай к нему;Местоимение: нему. Объект: лесу
попробуй рассматривать холмик за собой и канай до него;Местоимение: него. Объект: холмика
объезжай близкую преграду, осмотри её;Местоимение: её. Объект: преграду
опереди разрыв слева от тебя и повернись до него;Местоимение: него. Объект: разрыва
отыщи сосну, обставь её;Местоимение: её. Объект: сосну
отыщи упавшего человека, который располагается около лесополосы, подвергни анализу его;Местоимение: его. Объект: упавшего человека
отыщи недалёкую преграду и заворчивай до неё;Местоимение: неё. Объект: преграды
пытайся обскакивать останец, обозревай его;Местоимение: его. Объект: останец
обходи близлежащую лесополосу и сделай поворот до неё;Местоимение: неё. Объект: лесополосы
сделай поворот к препятствию за останцем, осматривай его;Местоимение: его. Объект: препятствие
обставь даму левее тебя и переступай к ней;Местоимение: ней. Объект: даме
отыщи близкую горку, осмотри её;Местоимение: её. Объект: горку
попробуй исследовать близкий лес и наступай к нему;Местоимение: нему. Объект: лесу
опереди растение, которое спереди от дубравы и канай к нему;Местоимение: нему. Объект: растению
отыщи овраг, находящийся спереди от преграды, которая располагается правее чащи и выдвигайся до него;Местоимение: него. Объект: оврага
повернись к ольхе за собой, анализируй её;Местоимение: её. Объект: ольху
обскочи в этом направлении, к останцу и повернись к нему;Местоимение: нему. Объект: останцу
отыщи фонарь слева, исследуй его;Местоимение: его. Объект: фонарь
осматривай недалёкое здание и забреди к нему;Местоимение: нему. Объект: зданию
причаль в эту сторону, до здания и обследуй его;Местоимение: его. Объект: здание
соверши поворот до сосны справа, рассмотри её;Местоимение: её. Объект: сосну
осматривай валун слева от тебя и подвергни анализу его;Местоимение: его. Объект: валун
объезжай сосну, которая располагается справа от фонаря, что слева от дома и разглядывай её;Местоимение: её. Объект: сосну
начни поворачивать к женщине, располагающейся спереди от пригорка и исследуй её;Местоимение: её. Объект: женщину
опереди преграду и соверши поворот к ней;Местоимение: ней. Объект: преграде
пытайся шкандыбать к лесу, исследуй его;Местоимение: его. Объект: лес
обнаружь разлом, что находится рядом с машиной и осматривай его;Местоимение: его. Объект: разлом
поворачивай к свету и обследуй его;Местоимение: его. Объект: свет
доставь себя к чаще, которая правее постройки, которая неподалеку от валуна и обскочи её;Местоимение: её. Объект: чащу
начинай шкандыбать к срубленному дереву, соверши поворот до него;Местоимение: него. Объект: срубленного дерева
отыщи бугор, находящийся справа от здания, располагающееся рядом с поваленным деревом, разглядывай его;Местоимение: его. Объект: бугор
сделай поворот до булыги, что находится справа от тачки и исследуй её;Местоимение: её. Объект: булыгу
соверши поворот до данной впадины, оставь позади её;Местоимение: её. Объект: впадину
